False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
True;This is just one of the business practices that led to Donald Trump being sued for discrimination. #Debate… https://t.co/PoXvMnGfCy;True;TheBriefing2016;20160927020518;;False;1523;1946;https://about.twitter.com/products/tweetdeck;False;True;92
True;"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight";False;;20160927020416;;False;6274;13551;https://about.twitter.com/products/tweetdeck;False;True;93
True;"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight";False;;20160927020159;;False;51681;102655;https://about.twitter.com/products/tweetdeck;False;True;94
True;President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight;False;;20160927020105;;False;6818;17734;https://about.twitter.com/products/tweetdeck;False;True;95
True;"Still a complete lie. #DebateNight 
https://t.co/F8aCfIqYWs";False;;20160927015934;;True;4564;7201;https://about.twitter.com/products/tweetdeck;False;True;96
True;Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight https://t.co/LspcUJNUc5;False;;20160927015613;;False;7324;13832;https://about.twitter.com/products/tweetdeck;False;True;97
True;"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight";False;;20160927015511;;False;10882;21951;https://about.twitter.com/products/tweetdeck;False;True;98
True;We’ve got to address the systemic racism in our criminal justice system and end private prisons. #DebateNight https://t.co/8afCXJAAjI;False;;20160927015438;;False;2587;6006;https://about.twitter.com/products/tweetdeck;False;True;99
True;How Hillary Clinton Took Charge In The First Presidential Debate https://t.co/4gwtCnACV0;True;BuzzFeedBen;20160927015202;;False;1259;2676;https://about.twitter.com/products/tweetdeck;False;False;100
False;I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp;False;;20160927015158;;False;12173;33572;http://twitter.com;False;True;101
True;We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight;False;;20160927015042;;False;6923;17156;https://about.twitter.com/products/tweetdeck;False;True;102
